timestamp;user_id;ticker;amount;best_model;metric_name;metric_value;est_profit
2025-11-08T14:07:58.999993;878963610;AAPL;1000.0;Ridge(lag=30);RMSE;3.463883;12.82
2025-11-08T14:08:59.654790;878963610;MSFT;1000.0;Ridge(lag=30);RMSE;6.344653;8.84
2025-11-08T14:15:24.732132;878963610;TSLA;1000.0;SARIMAX;RMSE;12.549327;0.13
2025-11-08T14:16:46.477300;878963610;AMZN;1000.0;Ridge(lag=30);RMSE;5.819297;18.68
2025-11-08T14:17:49.172337;878963610;TSLA;1000.0;SARIMAX;RMSE;12.549327;0.13
2025-11-08T14:18:08.756016;878963610;META;1000.0;Ridge(lag=30);RMSE;20.146202;20.13
2025-11-08T14:38:10.719981;878963610;META;1000.0;Ridge(lag=30);RMSE;20.146202;20.13
2025-11-08T14:38:56.806601;878963610;TSLA;1000.0;SARIMAX;RMSE;12.549327;0.13
2025-11-08T14:39:33.352471;878963610;TSLA;1000.0;SARIMAX;RMSE;12.549327;0.13
2025-11-08T14:41:53.149387;878963610;TSLA;1000.0;SARIMAX;RMSE;12.549327;0.13
2025-11-08T14:42:16.421703;878963610;MSFT;1000.0;Ridge(lag=30);RMSE;6.344653;8.84
2025-11-08T16:02:04.094616;878963610;TSLA;1000.0;SARIMAX;RMSE;12.549327;0.00
2025-11-08T16:02:16.308345;878963610;AAPL;1000.0;Ridge(lag=30);RMSE;3.463883;12.26
2025-11-08T16:02:29.255600;878963610;META;1000.0;Ridge(lag=30);RMSE;20.146202;19.50
2025-11-08T16:02:57.567044;878963610;AMZN;1000.0;Ridge(lag=30);RMSE;5.819297;13.45
2025-11-08T16:09:15.348311;878963610;MSFT;1000.0;Ridge(lag=30);RMSE;6.344653;8.71
2025-11-08T16:09:35.689333;878963610;TSLA;1000.0;SARIMAX;RMSE;12.549327;0.00
2025-11-08T16:09:41.748498;878963610;AMZN;1000.0;Ridge(lag=30);RMSE;5.819297;13.45
2025-11-08T16:09:48.750784;878963610;AAPL;1000.0;Ridge(lag=30);RMSE;3.463883;12.26
2025-11-08T16:09:59.014188;878963610;AMZN;1000.0;Ridge(lag=30);RMSE;5.819297;13.45
2025-11-08T16:10:07.133250;878963610;AAPL;1000.0;Ridge(lag=30);RMSE;3.463883;12.26
2025-11-08T16:18:31.841643;878963610;MSFT;1000.0;Ridge(lag=30);RMSE;6.344653;8.71
2025-11-08T16:18:42.743883;878963610;AAPL;1000.0;Ridge(lag=30);RMSE;3.463883;12.26
2025-11-08T16:18:49.676069;878963610;TSLA;1000.0;SARIMAX;RMSE;12.549327;0.00
2025-11-08T16:38:02.282860;878963610;MSFT;1000.0;Ridge(lag=30);RMSE;6.344653;8.71
2025-11-08T16:40:38.995784;878963610;GOOGL;1000.0;Ridge(lag=30);RMSE;4.471014;2.49
2025-11-08T16:40:45.781172;878963610;TSLA;1000.0;SARIMAX;RMSE;12.549327;0.00
2025-11-08T16:40:51.912726;878963610;AMZN;1000.0;Ridge(lag=30);RMSE;5.819297;13.45
2025-11-08T16:40:58.257862;878963610;META;1000.0;Ridge(lag=30);RMSE;20.146202;19.50
2025-11-08T16:41:04.615948;878963610;AAPL;1000.0;Ridge(lag=30);RMSE;3.463883;12.26
2025-11-08T16:41:29.219054;878963610;AMZN;1000.0;Ridge(lag=30);RMSE;5.819297;13.45
2025-11-08T17:02:00.807913;878963610;AAPL;1000.0;SARIMAX;RMSE;3.225295;0.00
2025-11-08T17:04:03.605878;878963610;MSFT;1000.0;SARIMAX;RMSE;5.891248;0.00
2025-11-08T17:06:10.928330;878963610;GOOGL;1000.0;Ridge(lag=30);RMSE;4.471014;2.49
2025-11-08T17:08:22.432011;878963610;META;1000.0;SARIMAX;RMSE;18.965232;0.00
2025-11-08T17:54:27.815903;878963610;AAPL;1000.0;SARIMAX;RMSE;7.551267;0.00
2025-11-08T18:08:46.678717;878963610;AAPL;1000.0;Ridge(lag=20);RMSE;7.682437;0.00
2025-11-08T18:25:16.333029;878963610;AAPL;1000.0;Ridge(lag=20);RMSE;7.682437;0.00
2025-11-08T18:55:03.765072;878963610;AAPL;1000.0;Ridge(lag=20);RMSE;7.682437;0.00
2025-11-08T19:28:01.579482;878963610;AAPL;1000.0;Ridge(lag=20);RMSE;8.096102;0.00
2025-11-08T19:44:46.458559;878963610;AAPL;1000.0;Ridge(lag=20);RMSE;8.096102;0.00
2025-11-08T20:09:00.858028;878963610;MSFT;1000.0;RandomForest(lag=20);RMSE;11.679180;53.49
2025-11-08T20:15:37.098439;878963610;META;1000.0;LSTM(window=120);RMSE;47.106231;0.00
2025-11-08T20:21:35.951853;878963610;GOOGL;1000.0;SARIMAX;RMSE;10.153959;0.00
2025-11-08T20:32:45.161518;878963610;AAPL;1000.0;LSTM(window=120);RMSE;7.377395;0.00
2025-11-08T20:50:48.149374;878963610;MSFT;1000.0;RandomForest(lag=20);RMSE;11.679180;53.49
2025-11-08T20:58:10.982218;878963610;META;1000.0;LSTM(window=120);RMSE;45.669053;36.06
2025-11-08T21:05:25.219219;878963610;GOOGL;1000.0;SARIMAX;RMSE;9.934307;0.00
